,conglomerado,cidade,data_base,indice_basileia
190,COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI,GUAXUPE,2023-03-01,30.7
191,COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU,PINHALZINHO,2023-03-01,18.06
192,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SUL MINAS DO RIO GRANDE DO SUL E MINAS GERAIS - SICREDI SUL MINAS RS/MG.",ESTACAO,2023-03-01,14.74
193,SICREDI EXPANSÃO - COOPERATIVA DE CRÉDITO,MACEIO,2023-03-01,21.02
194,CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO,GOIANIA,2023-03-01,16.41
195,M PAGAMENTOS S.A. CFI - PRUDENCIAL,SAO PAULO,2023-03-01,-5.78
196,OURIBANK - PRUDENCIAL,SAO PAULO,2023-03-01,12.21
197,GENIAL - PRUDENCIAL,RIO DE JANEIRO,2023-03-01,11.89
198,COOPERATIVA DE CRÉDITO UNICRED CENTRO-SUL LTDA - UNICRED CENTRO-SUL,CRICIUMA,2023-03-01,17.32
199,COOPERATIVA DE CRÉDITO SICOOB OURO VERDE,LONDRINA,2023-03-01,12.48
200,BANCO RIBEIRÃO PRETO - PRUDENCIAL,RIBEIRAO PRETO,2023-03-01,16.44
201,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE ESPUMOSO - SICREDI ESPUMOSO RS/MG",ESPUMOSO,2023-03-01,26.88
202,ICBC DO BRASIL BM S.A. - PRUDENCIAL,SAO PAULO,2023-03-01,31.34
203,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO VALE DO RIO PARDO - SICREDI VALE DO RIO PARDO RS",SANTA CRUZ DO SUL,2023-03-01,21.62
204,"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",OSASCO,2023-03-01,24.01
205,COOPERATIVA DE CRÉDITO SICOOB VALE SUL,FRANCISCO BELTRAO,2023-03-01,15.02
206,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS AURIVERDE -  SICOOB - CREDIAL SC/RS,CUNHA PORA,2023-03-01,20.71
207,ZEMA CFI - PRUDENCIAL,ARAXA,2023-03-01,18.81
208,COOPECREDI GUARIBA - COOPERATIVA DE CREDITO,GUARIBA,2023-03-01,30.89
209,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CERRADO DE GOIÁS - SICREDI CERRADO GO",GOIANIA,2023-03-01,14.6
210,COOPERATIVA DE CREDITO DO ALTO PARANAIBA E REGIÃO LTDA. - SICOOB CREDIPATOS,PATOS DE MINAS,2023-03-01,16.2
211,COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PONTAL DO TRIANGULO LTDA - SICOOB CREDIPONTAL,ITUIUTABA,2023-03-01,14.78
212,COOPERATIVA DE CRÉDITO DE CASCAVEL E REGIÃO - SICOOB CREDICAPITAL,CASCAVEL,2023-03-01,14.41
213,COOPERATIVA DE CREDITO E INVESTIMENTO COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA,DOIS VIZINHOS,2023-03-01,18.12
214,"COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO TERRA DOS PINHEIRAIS DO PARANÁ E NOROESTE PAULISTA - SICREDI PLANALTO DAS ÁGUAS PR/SP",GUARAPUAVA,2023-03-01,15.5
215,COOPERATIVA DE CRÉDITO NORTE DO ESPÍRITO SANTO - SICOOB NORTE,SAO GABRIEL DA PALHA,2023-03-01,31.64
